Description,Level 1 Description,Asset Class 2 Description,Asset Class 3 Description,MaintPlant,Equipment,Description.1,New Funct. Location,New Super Funct. Loc,ManufSerialNo.,Manufacturer,Model number,ManufPartNo.,Sort Field,Main WorkCtr,Work center,Planner Group,HSECES Category,ABC Indic.,Plant Section,Object Type,EquipCategory,Superord.Equip.,Catalog Profile,TechIdentNo.,Size/dimens.,ManufCountry
FRM AIR DRYER COLUMN TO IA RECEIVER,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008044,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011002011.0,PM_PIPE,IA-SSA-PC-131,,
FRM 8-AW-0044-061422-Y-N TO P-2101,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008055,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008054.0,PM_PIPE,IW-CS-PC-085,,
INJECTION WATER HEADER,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008056,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008054.0,PM_PIPE,IW-CS-PC-087,,
FRM 6IW0121151422PN TO 4IW0126151422YN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008057,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008054.0,PM_PIPE,IW-CS-PC-089,,
FRM 4-IW-0001-151422-P-N TO WELL HB20,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008058,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008054.0,PM_PIPE,IW-CS-PC-092,,
FRM CI INJ PKG TO 6-PO-0106-151441-Y-P,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008060,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008059.0,PM_PIPE,IZ-SSA-PC-120,,
FRM PA RECEIVER(V-6101) TO DRAIN TO AOC,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008061,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011007889.0,PM_PIPE,D-CS-PC-044,,
FRM U-6203 TO CHEMICAL DRAIN PIT,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008062,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011007889.0,PM_PIPE,D-CS-PC-047,,
FRM CORR INHIBITOR INJ TO CHEM DRAIN PIT,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008063,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011007889.0,PM_PIPE,D-CS-PC-049,,
FRM 4D0088096620X1N TO 3D0118017015X1N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008064,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011007889.0,PM_PIPE,D-CS-PC-064,,
FRM 6PO0247091441YN TO 2D0007066620XN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008065,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-051,,
FRM 12PO0191091441YN TO 2D0085096620XN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008066,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-054,,
FRM LP-1301(N4) TO 4-D-0081-096620-X-N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008067,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-056,,
FRM U-0902 DRAIN TO 2-D-0086-096620-X-N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008068,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-058,,
FRM VLV PIT TO CLOSED DRAIN DRUM V-6701,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008069,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-MEC-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-062,,
FRM BLIND FLANGE TO 4-D-0119-017015-X1-N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008070,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-067,,
FRM 14PO0580091441Y1P TO 2D0176016620X1N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008071,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-071,,
FRM 4PO0212061441Y1P TO 2D0120066620X1N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008072,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-073,,
14PO0206091441Y1P TO 2PO0131096620X1N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008073,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-076,,
FRM TRUCK HOSE CONNECTION TO T-6301,O&GP - Pipeline,Terminal Plant,Loading Hose,2402,11011008075,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008074.0,PM_PIPE,DF-CS-PC-097,,
FRM P-6301 TO DIESEL S-6301/6302,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008076,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008074.0,PM_PIPE,DF-CS-PC-099,,
FRM SP-0325 TO PORTABLE WTR PUMP P-2301,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008077,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-MEC-01,,100,NHSECES,C,PNG,PI,M,11011009560.0,PM_PIPE,DW-SSA-PC-079,,
F&G BEACON AND SOUNDER ETR-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008090,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004045.0,PM_FDET,FG-ETR-1-BEACON,,
F&G GAS DETECTOR ETR-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008091,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004045.0,PM_FDET,FG-ETR-1-GD,,
F&G BEACON AND SOUNDER ETR-2,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008093,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011009565.0,PM_FDET,FG-ETR-2-BEACON,,
F&G GAS DETECTOR ETR-2,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008094,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011009565.0,PM_FDET,FG-ETR-2-GD,,
F&G SMOKE DETECTOR ETR-2,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008095,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011009565.0,PM_FDET,FG-ETR-2-SD,,
F&G BEACON AND SOUNDER ETR-3,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008096,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004048.0,PM_FDET,FG-ETR-3-BEACON,,
F&G HEAT DETECTOR ETR-3,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008097,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004048.0,PM_FDET,FG-ETR-3-HD,,
F&G SMOKE DETECTOR ETR-3,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008098,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004048.0,PM_FDET,FG-ETR-3-SD,,
F&G BEACON AND SOUNDER ETR-4,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008099,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011002025.0,PM_FDET,FG-ETR-4-BEACON,,
F&G GAS DETECTOR ETR-4,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008100,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011002025.0,PM_FDET,FG-ETR-4-GD,,
F&G SMOKE DETECTOR ETR-4,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008101,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011002025.0,PM_FDET,FG-ETR-4-SD,,
FRM U-6202 TO 1-Z-0001-153411-XN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008102,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004094.0,PM_PIPE,Z-SSA-PC-124,,
F&G-HEAT DETECTOR HB31,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008107,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008105.0,PM_FDET,FG-HB31-HD,,
F&G BEACON AND SOUNDER HB32,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008108,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004054.0,PM_FDET,FG-HB32-BEACON,,
F&G-HEAT DETECTOR HB32,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008109,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004054.0,PM_FDET,FG-HB32-HD,,
F&G BEACON AND SOUNDER HB33,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008110,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004055.0,PM_FDET,FG-HB33-BEACON,,
F&G-HEAT DETECTOR HB33,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008111,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004055.0,PM_FDET,FG-HB33-HD,,
F&G BEACON AND SOUNDER HB34,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008112,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004056.0,PM_FDET,FG-HB34-BEACON,,
F&G-HEAT DETECTOR HB34,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008113,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004056.0,PM_FDET,FG-HB34-HD,,
F&G BEACON AND SOUNDER HB36,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008114,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004057.0,PM_FDET,FG-HB36-BEACON,,
F&G GAS DETECTOR HB36,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008115,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004057.0,PM_FDET,FG-HB36-GD,,
F&G BEACON AND SOUNDER HB39,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008119,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011002030.0,PM_FDET,FG-HB39-BEACON,,
F&G BEACON AND SOUNDER ITR-12,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008124,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004062.0,PM_FDET,FG-ITR-12-BEACON,,
F&G BEACON AND SOUNDER ITR-4,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008132,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004066.0,PM_FDET,FG-ITR-4-BEACON,,
F&G BEACON AND SOUNDER ITR-5,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008134,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004067.0,PM_FDET,FG-ITR-5-BEACON,,
F&G BEACON AND SOUNDER ITR-6,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008136,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004068.0,PM_FDET,FG-ITR-6-BEACON,,
F&G BEACON AND SOUNDER ITR-7,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008138,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004069.0,PM_FDET,FG-ITR-7-BEACON,,
F&G GAS DETECTOR ITR-7,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008139,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004069.0,PM_FDET,FG-ITR-7-GD,,
F&G GAS DETECTOR ITR-8,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008141,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008140.0,PM_FDET,FG-ITR-8-GD,,
F&G GAS DETECTOR ITR-9,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008143,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008142.0,PM_FDET,FG-ITR-9-GD,,
FRM CI INJ PKG TO 6-PO-0010-151441-Y-P,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008145,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008059.0,PM_PIPE,IZ-SSA-PC-121,,
FROM SP-0005 TO 2-NN-0021-096620-X-N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008148,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004074.0,PM_PIPE,NN-CS-PC-107,,
FRM SP-0038 TO CLOSED DRAIN DRUM,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008149,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004074.0,PM_PIPE,NN-CS-PC-110,,
FRM 2NN0022011412YN TO 8PO0198091441YN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008150,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004074.0,PM_PIPE,NN-CS-PC-112,,
FROM TP-06A TO 1-NN-0102-011412-Y1-N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008151,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004074.0,PM_PIPE,NN-CS-PC-116,,
FROM HOSE CONN TO 2-PO-0207-091441-X1-P,O&GP - Pipeline,Terminal Plant,Loading Hose,2402,11011008152,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004074.0,PM_PIPE,NN-CS-PC-118,,
FROM MEMBERANE TO NITROGEN RECIEVER,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008153,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009586.0,PM_PIPE,NN-SSA-PC-134,,
FRM 2OZ0001093411XN TO 1OZ0003093411XN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008154,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004077.0,PM_PIPE,OZ-SSA-PC-122,,
FRM 2-PA-0005-018011-X-N TO PA HDR,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008156,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008155.0,PM_PIPE,PA-CS-PC-102,,
FRM CVA-H03P-01 TO 6-PO-0011-091441-P,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008158,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-004,,
FRM CVA-A01P-01 TO 6-PO-0107-091441-P,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008159,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-010,,
FRM 6-PO-0066-151441-Y-P TO SDV-0104-03,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008160,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-012,,
FRM 6-PO-0006-151441-Y-P TO SDV-0104-04,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008161,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-018,,
FROM LP-1301 TO RP-1301,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008162,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-023,,
FRM SDV-0900-02 TO MPP U-0903,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008163,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-025,,
PH-1(12-PO-00183-091441-Y-N),O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008164,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-027,,
16PO0283091441P1P TO 14PO0206061441Y1P,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008165,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-036,,
16PO0283091441P1N TO 14PO0206061441Y1P,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008166,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-038,,
FRM WELL HEAD-HB03 WV TO CVA-H03P-01,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008167,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011002042.0,PM_PIPE,PO-NI-PC-001,,
FROM PURGE CONN TO 6-PO-0009-156620-X-P,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008168,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-003,,
FROM PURGE CONN TO 6-PO-0105-156620-X-P,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008169,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-009,,
FRM 6-PO-0251-091441-Y-N TO(M-0102),O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008170,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-014,,
FRM 2PO0217036620XN TO 2VG0019016620XN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008171,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-020,,
FRM 6-PO-0185-091441-Y-N TO 00-SC-001,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008172,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-022,,
FRM 16PO0283091441PP TO 16PO0283091441PP,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008173,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-031,,
FRM P-6704 TO PRODUCT EXPORT PIPE LINE,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008174,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-033,,
FRM 14-PO-0206-091441-Y1-P TO 37-SC-001,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008175,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-040,,
FRM DIESEL BULK STRG TANK T-6301 TO ATM,O&GP - Pipeline,Terminal Plant,Floating Storage Tanks,2402,11011008179,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011010070.0,PM_PIPE,V-CS-PC-125,,
FRM CLOSED DRAIN TO VENT STACK,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008182,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008181.0,PM_PIPE,VG-CS-PC-129,,
FRM PSV1301-02A TO 6-VG-0008-011503-X1-N,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008183,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008181.0,PM_PIPE,VG-CS-PC-132,,
FRM PSV-6704-01 TO CLOSED DRAIN DRUM,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008184,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004092.0,PM_PIPE,VG-NI-PC-130,,
FRM U-6202 TO 1-Z-0002-093411-XN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011008188,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004094.0,PM_PIPE,Z-SSA-PC-123,,
CGF AREA HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008223,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004189.0,PM_FDET,1-01-00-5400-01-HD,,
33/11kV CGF SUB-STATION GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008224,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,BUD,OH,M,11011002095.0,PM_FDET,1-01-00-5801-01-GD,,
F&G SYS CGF LCR BLDG BEACON AND SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008225,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011000524.0,PM_FDET,1-01-00-5802-01-BEACON,,
F&G SYS CGF CAP BLDG GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008226,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004198.0,PM_FDET,1-01-00-5803-01-GD,,
EDG SYSTEM FIRE & GAS GAS DETECTORS-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008311,Emergency Power,1-01-00-GD-4201,A-AP-6000-UF63-01,,AUTRONICA,HC300PL,,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004446.0,PM_FDET,1-01-00-GD-GD-4201-01,L236XW132XH117 MM,NO
EDG SYSTEM FIRE & GAS HEAT DETECTORS-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008313,Emergency Power,1-01-00-GD-4201,A-AP-6000-UF63-01,,MEDC,HD1,HMDI/75000-48570/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004446.0,PM_FDET,1-01-00-HD-GD-4201-01,,GB
CDB PUMP DISCH LINE SDV HAND SWITCH,O&GP - Plants,Control Systems,System in General for Control System,2402,11011008370,Closed Drains,1-01-00-HS-6700-01A,1-01-00-SDV-6700-01,,,,,,C-MEC-01,,100,SD01,A,CDS,LO,M,11011002479.0,PM_MIC,1-01-00-HS-6700-01A,,
